AQS_Site_ID,COUNTYNS,pct_below_median
081030006,00198167,0
230050015,00581288,0.013736263736263736
300630037,01719596,0.013736263736263736
530330057,01531933,0.013736263736263736
230050029,00581288,0.019230769230769232
060731201,00277301,0.024725274725274724
051130002,00069175,0.027472527472527472
060719004,00277300,0.027472527472527472
060290016,02054176,0.03021978021978022
060710027,00277300,0.03296703296703297
440070030,01219781,0.03296703296703297
530330030,01531933,0.038461538461538464
260330901,01622959,0.04395604395604396
340030010,00882271,0.04395604395604396
060712002,00277300,0.046703296703296704
300490026,00793926,0.04945054945054945
300530018,01720038,0.0521978021978022
350130021,00929109,0.054945054945054944
390350065,01074030,0.054945054945054944
530530024,01529159,0.054945054945054944
060290010,02054176,0.057692307692307696
230110016,00581291,0.057692307692307696
370990006,01008566,0.057692307692307696
410350004,01155134,0.057692307692307696
300630024,01719596,0.06043956043956044
560330002,01605081,0.06043956043956044
060371602,00277283,0.06868131868131869
390610048,01074043,0.06868131868131869
560290001,01605079,0.06868131868131869
560391006,01605083,0.07142857142857142
350010029,01702363,0.07417582417582418
560051899,01605068,0.07692307692307693
470931017,01639761,0.07967032967032966
060372005,00277283,0.08241758241758242
060658005,00277297,0.08241758241758242
120110035,00295753,0.08241758241758242
160090010,00395190,0.08241758241758242
311570004,00835900,0.08516483516483517
040230004,00040472,0.08791208791208792
081230008,00198177,0.08791208791208792
210130002,00516853,0.08791208791208792
350010026,01702363,0.08791208791208792
350130016,00929109,0.08791208791208792
500070014,01461760,0.09065934065934066
530770015,01531929,0.09065934065934066
271630448,00659526,0.09340659340659341
530770009,01531929,0.09340659340659341
482011052,01383886,0.09615384615384616
060370002,00277283,0.0989010989010989
060658001,00277297,0.0989010989010989
060731017,00277301,0.0989010989010989
080130012,00198122,0.10164835164835165
180190006,00450340,0.10164835164835165
050510003,00066855,0.1043956043956044
180570008,00450356,0.1043956043956044
470931013,01639761,0.1043956043956044
500210002,01461767,0.1043956043956044
060371103,00277283,0.10714285714285714
060371201,00277283,0.10714285714285714
120861016,00295755,0.10714285714285714
471570024,01639790,0.10714285714285714
517100024,01498557,0.10714285714285714
171190024,00424258,0.10989010989010989
261630099,01623022,0.10989010989010989
350250008,01702365,0.10989010989010989
511650003,01488970,0.10989010989010989
081230006,00198177,0.11263736263736264
040213015,00025447,0.11538461538461539
080130003,00198122,0.11538461538461539
180970043,00450371,0.11538461538461539
